Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Course,Fathers_occupation,Previous_qualification_grade,Curricular_units_1st_sem_grade,Admission_grade,Target
0,0.0,171,9,122.0,0.0,127.3,Dropout
6,13.66666667,9254,3,160.0,14.0,142.5,Graduate
0,0.0,9070,9,122.0,0.0,124.8,Dropout
5,12.4,9773,3,122.0,13.42857143,119.6,Graduate
6,13.0,8014,9,100.0,12.33333333,141.5,Graduate
5,11.5,9991,7,133.1,11.85714286,114.8,Graduate
8,14.345,9500,10,142.0,13.3,128.4,Graduate
0,0.0,9254,9,119.0,0.0,113.1,Dropout
6,14.14285714,9238,9,137.0,13.875,129.3,Graduate
2,13.5,9238,7,138.0,11.4,123.0,Dropout
5,14.2,9670,7,139.0,12.33333333,130.6,Graduate
7,13.21428571,9500,9,136.0,13.21428571,119.3,Graduate
0,0.0,9853,9,133.0,0.0,130.2,Dropout
5,11.0,9254,7,110.0,10.57142857,111.8,Graduate
5,12.0,9085,5,149.0,13.25,137.1,Graduate
0,0.0,9773,3,127.0,13.2,120.7,Dropout
2,11.0,9238,8,137.0,12.0,137.4,Enrolled
8,14.545,9500,4,135.0,13.30625,127.3,Graduate
4,12.25,9130,5,137.0,12.5,136.3,Graduate
6,13.5,9853,7,140.0,11.66666667,124.6,Enrolled
0,0.0,171,8,122.0,0.0,120.3,Graduate
8,11.425,9556,7,127.0,11.4375,121.8,Enrolled
7,12.85714286,9500,1,142.0,12.85714286,125.5,Graduate
6,12.28571429,9670,7,125.0,13.375,114.9,Graduate
7,14.11428571,9500,7,126.0,13.29666667,123.9,Graduate
4,11.0,9238,9,151.0,11.6,157.0,Enrolled
6,13.28571429,9238,8,115.0,11.375,116.4,Graduate
4,13.0,9085,3,138.0,12.66666667,131.0,Enrolled
5,12.33333333,9147,9,135.0,12.0,122.1,Graduate
6,13.71666667,9500,10,127.0,12.93333333,118.8,Enrolled
5,10.57142857,9003,2,150.0,11.85714286,150.0,Enrolled
4,13.4,9070,124,125.0,12.83333333,130.0,Graduate
2,13.5,9147,6,143.0,11.33333333,138.8,Enrolled
6,14.375,8014,5,138.0,12.66666667,134.5,Graduate
5,13.42857143,9991,9,130.0,12.4,131.4,Graduate
1,10.0,33,6,130.0,0.0,102.5,Dropout
0,0.0,9119,0,133.1,0.0,128.8,Dropout
2,12.0,9147,6,140.0,10.0,122.9,Dropout
5,11.6,9991,3,120.0,11.0,113.9,Graduate
3,12.0,9130,6,120.0,11.66666667,120.0,Dropout
0,0.0,9773,2,126.0,12.75,121.1,Dropout
5,15.8,9147,7,133.0,14.8,120.4,Graduate
7,14.34285714,9500,2,103.0,13.928,100.6,Graduate
5,13.8,9773,5,120.0,13.0,121.4,Dropout
0,0.0,9991,9,133.1,0.0,109.7,Dropout
3,14.33333333,9991,5,154.0,11.5,134.1,Enrolled
5,13.2,9238,9,130.0,11.66666667,127.6,Graduate
7,13.77142857,9500,7,132.0,13.51666667,132.4,Graduate
6,13.28571429,8014,9,130.0,11.5,133.4,Graduate
6,12.83333333,9238,9,139.0,12.33333333,126.1,Graduate
6,14.16666667,9254,7,130.0,13.66666667,113.5,Graduate
6,11.83333333,9500,6,139.0,11.83333333,121.3,Enrolled
3,11.0,9773,7,127.0,14.0,121.8,Enrolled
5,15.8,9130,90,167.0,14.71428571,159.3,Graduate
5,11.0,9991,9,130.0,10.6,120.0,Dropout
8,13.595,9500,5,130.0,13.04444444,129.1,Graduate
0,0.0,9254,3,130.0,0.0,130.0,Dropout
10,12.9,9130,2,129.0,13.0,155.3,Dropout
8,14.935,9500,10,141.0,14.935,139.8,Graduate
0,0.0,171,9,125.0,0.0,115.2,Enrolled
7,12.22142857,9500,9,125.0,13.13333333,114.9,Graduate
6,12.0,9238,9,130.0,12.0,131.9,Graduate
0,0.0,171,7,133.0,0.0,126.0,Enrolled
1,10.0,9070,4,127.0,11.4,130.2,Enrolled
0,0.0,9070,3,116.0,0.0,120.9,Enrolled
5,11.0,9500,5,133.1,11.9,126.0,Dropout
0,0.0,171,3,139.0,0.0,128.2,Graduate
6,12.42857143,9003,9,130.0,12.57142857,130.0,Graduate
4,10.75,9147,7,125.0,11.2,120.1,Dropout
5,10.8,9254,10,160.0,12.0,100.0,Enrolled
0,0.0,9147,5,148.0,0.0,134.0,Enrolled
8,13.75,9500,4,150.0,11.975,130.8,Graduate
0,0.0,171,10,141.0,0.0,135.8,Dropout
1,12.0,9254,7,118.0,11.66666667,111.7,Dropout
3,12.33333333,9773,9,142.0,12.33333333,132.9,Graduate
